start_station,end_station,distance_miles,travel_time_minutes,delay_minutes
Denver,Boulder,30,35,5
Denver,Fort_Collins,65,70,7
Denver,Cheyenne,102,110,9
Denver,Castle_Rock,32,38,4
Denver,Colorado_Springs,70,75,6
Denver,Pueblo,112,120,9
Denver,Golden,15,20,3
Denver,Breckenridge,80,90,8
Boulder,Fort_Collins,45,50,8
Boulder,Golden,20,25,4
Boulder,Idaho_Springs,48,55,6
Fort_Collins,Cheyenne,47,52,6
Cheyenne,Castle_Rock,132,145,11
Castle_Rock,Colorado_Springs,42,45,6
Castle_Rock,Trinidad,175,190,13
Colorado_Springs,Pueblo,45,48,7
Colorado_Springs,Trinidad,128,138,10
Pueblo,Trinidad,85,90,10
Pueblo,Breckenridge,165,180,13
Pueblo,Grand_Junction,285,305,15
Trinidad,Grand_Junction,315,335,16
Golden,Idaho_Springs,28,32,5
Golden,Breckenridge,65,72,7
Idaho_Springs,Georgetown,14,18,4
Idaho_Springs,Breckenridge,52,60,6
Georgetown,Breckenridge,55,65,9
Georgetown,Vail,62,70,8
Breckenridge,Aspen,82,95,10
Vail,Aspen,102,115,12
Vail,Grand_Junction,148,160,13
Aspen,Grand_Junction,128,140,15
