shipment_id,shipment_type,origin_station,destination_station
S001,Medical_Supplies,Denver,Trinidad
S002,General_Freight,Denver,Grand_Junction
S003,Perishable_Food,Fort_Collins,Colorado_Springs
S004,Express_Freight,Colorado_Springs,Cheyenne
S005,Automotive_Parts,Grand_Junction,Denver
S006,Medical_Supplies,Pueblo,Denver
S007,General_Freight,Boulder,Vail
S008,Perishable_Food,Castle_Rock,Aspen
S009,Express_Freight,Golden,Grand_Junction
S010,Automotive_Parts,Cheyenne,Pueblo
S011,Medical_Supplies,Denver,Vail
S012,General_Freight,Colorado_Springs,Boulder
S013,Perishable_Food,Aspen,Fort_Collins
S014,Express_Freight,Trinidad,Denver
S015,Automotive_Parts,Idaho_Springs,Cheyenne
S016,Medical_Supplies,Georgetown,Colorado_Springs
S017,General_Freight,Vail,Golden
S018,Perishable_Food,Denver,Breckenridge
S019,Express_Freight,Fort_Collins,Grand_Junction
S020,Automotive_Parts,Pueblo,Aspen
